DATE_FORMAT,DATE,INT ARRIVALS 04,INT ARRIVALS 22,INT ARRIVALS TTL,INT DEPARTURES 04,INT DEPARTURES 22,INT DEPARTURES TTL,LOCAL ARRIVALS 04,LOCAL ARRIVALS 22,LOCAL ARRIVALS TTL,LOCAL DEPARTURES 04,LOCAL DEPARTURES 22,LOCAL DEPARTURES TTL,TRANSITS FXD,TRANSITS HEL,TRANSITS TTL,HELI LND,HELI TO,HELI TTL,T/G,Grant Total,YEAR,MONTH
2018-04-04,4,14.0,31.0,45,15.0,33.0,48,0.0,0.0,0,0.0,0.0,0,1.0,0.0,1,9.0,9.0,18,0.0,112,2018,APR
2018-04-05,5,5.0,15.0,20,0.0,20.0,20,0.0,1.0,1,0.0,1.0,1,1.0,0.0,1,0.0,0.0,0,0.0,43,2018,APR
2018-04-06,6,4.0,14.0,18,0.0,17.0,17,0.0,1.0,1,0.0,1.0,1,1.0,0.0,1,0.0,0.0,0,0.0,38,2018,APR
2018-04-07,7,1.0,32.0,33,0.0,35.0,35,0.0,0.0,0,0.0,0.0,0,2.0,0.0,2,0.0,0.0,0,2.0,72,2018,APR
2018-04-08,8,2.0,26.0,28,0.0,28.0,28,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,56,2018,APR
2018-04-09,9,3.0,18.0,21,0.0,19.0,19,0.0,1.0,1,0.0,1.0,1,0.0,1.0,1,0.0,0.0,0,0.0,43,2018,APR
2018-04-10,10,0.0,20.0,20,0.0,21.0,21,0.0,1.0,1,0.0,1.0,1,0.0,0.0,0,0.0,0.0,0,0.0,43,2018,APR
2018-04-11,11,0.0,46.0,46,0.0,44.0,44,0.0,0.0,0,0.0,0.0,0,1.0,1.0,2,8.0,8.0,16,3.0,111,2018,APR
2018-04-12,12,2.0,19.0,21,0.0,20.0,20,0.0,2.0,2,0.0,2.0,2,0.0,1.0,1,5.0,5.0,10,1.0,57,2018,APR
2018-04-13,13,2.0,15.0,17,0.0,18.0,18,0.0,3.0,3,0.0,3.0,3,0.0,0.0,0,0.0,0.0,0,11.0,52,2018,APR
2018-04-14,14,4.0,33.0,37,0.0,37.0,37,0.0,1.0,1,0.0,1.0,1,1.0,0.0,1,0.0,0.0,0,0.0,77,2018,APR
2018-04-15,15,21.0,8.0,29,17.0,12.0,29,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,58,2018,APR
2018-04-16,16,12.0,9.0,21,2.0,16.0,18,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,39,2018,APR
2018-04-17,17,2.0,18.0,20,0.0,22.0,22,0.0,2.0,2,0.0,2.0,2,0.0,1.0,1,2.0,2.0,4,8.0,59,2018,APR
2018-04-18,18,1.0,46.0,47,0.0,45.0,45,0.0,0.0,0,0.0,0.0,0,1.0,0.0,1,10.0,10.0,20,0.0,113,2018,APR
2018-04-19,19,0.0,21.0,21,0.0,21.0,21,0.0,1.0,1,0.0,1.0,1,1.0,0.0,1,20.0,20.0,40,0.0,85,2018,APR
2018-04-20,20,2.0,21.0,23,0.0,23.0,23,0.0,2.0,2,0.0,2.0,2,1.0,0.0,1,10.0,10.0,20,1.0,72,2018,APR
2018-04-21,21,29.0,8.0,37,29.0,12.0,41,1.0,1.0,2,1.0,1.0,2,1.0,0.0,1,2.0,2.0,4,0.0,87,2018,APR
2018-04-22,22,0.0,29.0,29,0.0,29.0,29,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,58,2018,APR
2018-04-23,23,0.0,21.0,21,0.0,20.0,20,0.0,2.0,2,0.0,2.0,2,1.0,0.0,1,10.0,10.0,20,0.0,66,2018,APR
2018-04-24,24,7.0,14.0,21,0.0,19.0,19,0.0,0.0,0,0.0,0.0,0,0.0,1.0,1,14.0,14.0,28,0.0,69,2018,APR
